Date,Open,High,Low,Close,Adj Close,Volume
2020-03-02,66891.000000,67595.898438,65551.000000,65976.296875,65586.640625,6419
2020-03-03,66799.000000,68558.351563,65600.000000,67740.703125,67340.648438,8202
2020-03-04,67270.000000,67698.796875,66100.000000,67053.351563,66657.359375,8187
2020-03-05,67300.046875,68169.898438,66809.500000,67325.148438,66927.539063,5745
2020-03-06,66389.000000,66500.203125,63858.550781,66348.148438,65956.296875,9851
2020-03-09,65800.000000,65800.000000,63052.449219,64261.851563,63882.332031,9596
2020-03-11,64200.000000,65687.296875,62703.000000,63589.851563,63214.296875,15621
2020-03-12,62001.000000,62888.199219,58000.000000,60555.250000,60197.625000,17336
2020-03-13,56030.000000,66300.000000,56030.000000,65929.351563,65539.976563,15213
2020-03-16,62000.000000,63899.851563,60309.050781,61295.050781,60933.054688,11325
2020-03-17,61295.050781,63749.800781,60350.050781,62140.699219,61773.703125,14677
2020-03-18,62899.949219,63395.101563,59200.000000,59921.148438,59567.253906,12224
2020-03-19,58950.000000,59870.000000,56950.500000,57803.750000,57462.375000,18081
2020-03-20,58199.949219,61111.101563,57534.699219,58988.949219,58640.566406,12332
2020-03-23,55905.000000,56998.851563,51500.000000,51970.250000,51663.316406,20514
2020-03-24,55000.000000,55000.000000,49915.101563,52597.699219,52287.062500,15772
2020-03-25,50155.550781,57700.000000,50155.550781,56579.250000,56245.105469,16480
2020-03-26,56600.000000,60742.648438,54900.000000,55343.750000,55016.898438,16474
2020-03-27,57940.000000,58200.000000,53620.000000,56371.250000,56038.328125,15883
2020-03-30,54700.000000,55270.000000,53522.898438,54375.699219,54054.570313,39105
2020-03-31,54600.000000,59312.000000,54121.050781,58164.449219,57820.937500,25755
2020-04-01,57900.000000,57900.000000,54675.449219,55108.851563,54783.390625,20661
2020-04-03,55600.000000,56200.000000,54500.000000,55062.250000,54737.058594,33126
2020-04-07,56500.000000,58088.000000,56055.050781,57701.050781,57360.285156,18689
2020-04-08,56600.000000,59500.000000,56300.000000,57172.750000,56835.097656,15231
2020-04-09,58599.000000,60460.050781,57700.199219,60017.898438,59663.445313,17979
2020-04-13,59500.000000,59831.398438,57101.000000,57399.199219,57060.210938,13752
2020-04-15,58500.000000,58500.000000,56760.000000,57417.750000,57078.648438,17187
2020-04-16,57390.000000,62000.000000,57012.101563,60441.898438,60084.933594,22062
2020-04-17,61541.898438,62340.000000,61000.000000,61638.300781,61274.277344,15847
2020-04-20,62000.000000,62000.000000,61150.000000,61384.000000,61021.472656,9847
2020-04-21,60500.000000,60793.601563,58500.699219,58864.750000,58517.109375,12668
2020-04-22,58875.000000,59489.898438,57829.000000,58221.949219,57878.101563,14951
2020-04-23,58547.000000,59341.851563,58500.000000,58712.351563,58365.609375,8688
2020-04-24,58225.000000,59200.000000,58000.000000,58805.398438,58458.105469,8119
2020-04-27,59700.000000,60290.000000,58805.398438,59206.550781,58856.886719,7821
2020-04-28,59800.000000,59800.000000,58550.000000,59075.699219,58726.816406,6233
2020-04-29,59100.000000,59750.000000,58900.000000,59203.699219,58854.050781,8035
2020-04-30,59800.000000,61800.000000,59499.949219,60510.648438,60153.281250,18800
2020-05-04,59499.949219,59499.949219,57700.000000,57987.300781,57644.835938,9677
2020-05-05,58647.000000,59350.000000,57500.000000,57750.000000,57408.933594,9615
2020-05-06,58350.000000,58790.000000,57200.101563,58362.699219,58018.019531,8360
2020-05-07,58000.000000,59000.000000,58000.000000,58831.050781,58483.613281,7492
2020-05-08,58902.000000,59783.050781,58450.000000,58874.898438,58527.183594,9752
2020-05-11,59025.000000,59450.000000,58286.000000,58791.199219,58443.980469,12163
2020-05-12,58500.000000,58629.898438,57318.851563,57632.101563,57291.738281,8170
2020-05-13,58850.000000,60200.000000,58221.500000,59645.148438,59292.890625,16232
2020-05-14,58676.000000,59125.000000,57925.398438,58132.601563,57789.281250,6586
2020-05-15,58751.000000,58751.000000,57775.000000,58135.550781,57792.214844,8049
2020-05-18,58235.000000,58499.949219,56150.000000,56356.050781,56023.214844,9020
2020-05-19,56850.000000,57400.000000,56600.000000,56828.199219,56492.582031,6472
2020-05-20,57200.000000,57400.000000,56745.050781,57298.898438,56960.500000,7045
2020-05-21,57399.000000,58260.000000,57300.000000,57451.500000,57112.203125,4818
